PhraseId,Sentiment
156061,1
156062,1
156063,2
156064,1
156065,2
156066,2
156067,3
156068,2
156069,3
156070,2
156071,1
156072,2
156073,2
156074,2
156075,2
156076,4
156077,3
156078,3
156079,3
156080,2
156081,2
156082,2
156083,3
156084,2
156085,2
156086,2
156087,2
156088,2
156089,3
156090,2
156091,3
156092,3
156093,3
156094,2
156095,2
156096,2
156097,2
156098,2
156099,2
156100,2
156101,2
156102,2
156103,2
156104,2
156105,2
156106,2
156107,2
156108,2
156109,2
156110,2
156111,2
156112,2
156113,2
156114,2
156115,2
156116,2
156117,2
156118,2
156119,2
156120,2
156121,2
156122,2
156123,2
156124,2
156125,2
156126,2
156127,2
156128,1
156129,2
156130,2
156131,2
156132,2
156133,2
156134,2
156135,2
156136,2
156137,2
156138,2
156139,2
156140,2
156141,1
156142,2
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,2
156151,2
156152,2
156153,2
156154,4
156155,2
156156,2
156157,2
156158,2
156159,3
156160,2
156161,2
156162,2
156163,2
156164,2
156165,2
156166,2
156167,2
156168,2
156169,2
156170,2
156171,2
156172,2
156173,2
156174,3
156175,2
156176,2
156177,2
156178,1
156179,2
156180,0
156181,2
156182,2
156183,2
156184,2
156185,2
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,2
156193,2
156194,2
156195,2
156196,2
156197,2
156198,1
156199,2
156200,2
156201,3
156202,2
156203,3
156204,2
156205,3
156206,3
156207,2
156208,2
156209,2
156210,3
156211,3
156212,2
156213,3
156214,2
156215,3
156216,2
156217,2
156218,2
156219,4
156220,2
156221,3
156222,3
156223,2
156224,2
156225,1
156226,2
156227,2
156228,2
156229,2
156230,2
156231,2
156232,2
156233,2
156234,2
156235,2
156236,4
156237,2
156238,4
156239,2
156240,4
156241,2
156242,2
156243,3
156244,3
156245,3
156246,3
156247,2
156248,2
156249,2
156250,2
156251,2
156252,2
156253,2
156254,2
156255,2
156256,2
156257,2
156258,2
156259,3
156260,2
156261,2
156262,2
156263,2
156264,2
156265,2
156266,3
156267,2
156268,2
156269,2
156270,2
156271,2
156272,4
156273,2
156274,4
156275,3
156276,3
156277,3
156278,2
156279,3
156280,2
156281,3
156282,3
156283,3
156284,2
156285,2
156286,3
156287,3
156288,3
156289,4
156290,2
156291,2
156292,2
156293,2
156294,2
156295,2
156296,1
156297,2
156298,1
156299,2
156300,1
156301,1
156302,2
156303,2
156304,1
156305,1
156306,2
156307,1
156308,2
156309,1
156310,2
156311,1
156312,2
156313,2
156314,1
156315,2
156316,2
156317,3
156318,2
156319,3
156320,2
156321,2
156322,2
156323,2
156324,2
156325,2
156326,2
156327,2
156328,3
156329,3
156330,2
156331,2
156332,2
156333,3
156334,3
156335,2
156336,3
156337,2
156338,3
156339,3
156340,3
156341,2
156342,2
156343,3
156344,2
156345,2
156346,2
156347,2
156348,3
156349,1
156350,2
156351,2
156352,2
156353,2
156354,2
156355,3
156356,3
156357,3
156358,2
156359,2
156360,2
156361,2
156362,0
156363,2
156364,0
156365,0
156366,2
156367,0
156368,1
156369,1
156370,1
156371,1
156372,1
156373,2
156374,3
156375,3
156376,2
156377,1
156378,3
156379,2
156380,3
156381,2
156382,2
156383,2
156384,2
156385,2
156386,2
156387,2
156388,2
156389,2
156390,2
156391,2
156392,2
156393,2
156394,2
156395,2
156396,0
156397,2
156398,0
